1,THU SEP 9 2010,8:30 PM,Minnesota,New Orleans,MIN,NO
1,SUN SEP 12 2010,1:00 PM,Miami,Buffalo,MIA,BUF
1,SUN SEP 12 2010,1:00 PM,Detroit,Chicago,DET,CHI
1,SUN SEP 12 2010,1:00 PM,Oakland,Tennessee,OAK,TEN
1,SUN SEP 12 2010,1:00 PM,Cincinnati,New England,CIN,NE
1,SUN SEP 12 2010,1:00 PM,Carolina,NY Giants,CAR,NYG
1,SUN SEP 12 2010,1:00 PM,Atlanta,Pittsburgh,ATL,PIT
1,SUN SEP 12 2010,1:00 PM,Cleveland,Tampa Bay,CLE,TB
1,SUN SEP 12 2010,1:00 PM,Denver,Jacksonville,DEN,JAC
1,SUN SEP 12 2010,1:00 PM,Indianapolis,Houston,IND,HOU
1,SUN SEP 12 2010,4:15 PM,San Francisco,Seattle,SF,SEA
1,SUN SEP 12 2010,4:15 PM,Green Bay,Philadelphia,GB,PHI
1,SUN SEP 12 2010,4:15 PM,Arizona,St. Louis,ARI,STL
1,SUN SEP 12 2010,8:20 PM,Dallas,Washington,DAL,WAS
1,MON SEP 13 2010,7:00 PM,Baltimore,NY Jets,BAL,NYJ
1,MON SEP 13 2010,10:15 PM,San Diego,Kansas City,SD,KAN
2,SUN SEP 19 2010,1:00 PM,Arizona,Atlanta,ARI,ATL
2,SUN SEP 19 2010,1:00 PM,Baltimore,Cincinnati,BAL,CIN
2,SUN SEP 19 2010,1:00 PM,Kansas City,Cleveland,KAN,CLE
2,SUN SEP 19 2010,1:00 PM,Chicago,Dallas,CHI,DAL
2,SUN SEP 19 2010,1:00 PM,Philadelphia,Detroit,PHI,DET
2,SUN SEP 19 2010,1:00 PM,Buffalo,Green Bay,BUF,GB
2,SUN SEP 19 2010,1:00 PM,Pittsburgh,Tennessee,PIT,TEN
2,SUN SEP 19 2010,1:00 PM,Miami,Minnesota,MIA,MIN
2,SUN SEP 19 2010,1:00 PM,Tampa Bay,Carolina,TB,CAR
2,SUN SEP 19 2010,4:05 PM,Seattle,Denver,SEA,DEN
2,SUN SEP 19 2010,4:05 PM,St. Louis,Oakland,STL,OAK
2,SUN SEP 19 2010,4:15 PM,New England,NY Jets,NE,NYJ
2,SUN SEP 19 2010,4:15 PM,Jacksonville,San Diego,JAC,SD
2,SUN SEP 19 2010,4:15 PM,Houston,Washington,HOU,WAS
2,SUN SEP 19 2010,8:20 PM,NY Giants,Indianapolis,NYG,IND
2,MON SEP 20 2010,8:30 PM,New Orleans,San Francisco,NO,SF
3,SUN SEP 26 2010,1:00 PM,San Francisco,Kansas City,SF,KAN
3,SUN SEP 26 2010,1:00 PM,Detroit,Minnesota,DET,MIN
3,SUN SEP 26 2010,1:00 PM,Buffalo,New England,BUF,NE
3,SUN SEP 26 2010,1:00 PM,Atlanta,New Orleans,ATL,NO
3,SUN SEP 26 2010,1:00 PM,Tennessee,NY Giants,TEN,NYG
3,SUN SEP 26 2010,1:00 PM,Pittsburgh,Tampa Bay,PIT,TB
3,SUN SEP 26 2010,1:00 PM,Cincinnati,Carolina,CIN,CAR
3,SUN SEP 26 2010,1:00 PM,Cleveland,Baltimore,CLE,BAL
3,SUN SEP 26 2010,1:00 PM,Dallas,Houston,DAL,HOU
